,timestamp,processId,parentProcessId,userId,mountNamespace,eventId,argsNum,returnValue
50216,141.741347,1,1,0,0,257,4,1
275876,479.108365,1,1,1,1,42,3,-1
84275,211.67283,1,1,0,1,257,4,1
147260,555.868536,1,1,0,0,3,1,0
99537,398.453173,1,1,0,0,21,2,0
100397,403.074754,1,1,0,0,5,2,0
13670,133.456625,1,1,0,0,3,1,0
32697,136.507726,1,1,0,0,3,1,0
91201,336.009367,1,1,0,1,3,1,0
170267,652.741476,1,1,0,0,257,4,1
51236,141.859598,1,1,0,0,5,2,0
65153,144.303757,1,1,0,0,21,2,-1
144411,544.9657,1,1,0,0,3,1,0
60485,143.484202,1,1,0,0,257,4,1
32885,136.53438,1,1,0,0,3,1,0
108096,412.047184,1,0,0,0,4,2,0
109820,412.24094,1,1,0,0,257,4,1
32357,136.46506,1,1,0,0,6,2,0
152036,556.860606,1,1,0,0,257,4,1
139124,543.918332,1,1,0,0,5,2,0
105980,409.952002,1,1,0,0,3,1,0
48568,141.541106,1,1,0,0,3,1,0
65831,144.347742,1,1,0,0,6,2,0
83164,211.488606,1,0,0,1,3,1,0
96310,397.469917,1,1,0,0,5,2,0
89602,334.482622,1,1,0,1,4,2,0
17012,133.822326,1,1,0,0,5,2,0
153284,556.954536,1,1,0,0,3,1,0
87023,273.729831,1,1,0,1,257,4,1
112244,412.472639,1,1,0,0,257,4,1
184559,718.021845,1,1,0,1,1005,4,0
59827,143.447011,1,1,0,0,257,4,1
182909,707.736013,1,1,0,1,1005,4,0
149245,556.384471,1,1,0,0,21,2,0
30751,136.149715,1,1,0,0,257,4,1
53106,141.958382,1,1,0,0,3,1,0
170729,652.76626,1,1,0,0,5,2,0
66901,144.404367,1,1,0,0,3,1,0
125436,461.080949,1,1,0,0,3,1,0
183434,709.093482,1,1,0,1,3,1,0
140593,544.088194,1,1,0,0,5,2,0
181793,676.028628,1,1,0,0,5,2,0
138838,543.891613,1,1,0,0,3,1,0
132224,542.630753,1,1,0,0,3,1,0
23046,134.53322,1,1,0,0,3,1,0
143169,544.430291,1,1,0,0,6,2,0
176837,674.60911,1,1,0,0,257,4,1
56091,142.973306,1,1,0,0,257,4,-1
52470,141.936604,1,1,0,0,257,4,1
39879,138.853012,1,0,0,0,51,3,0
84516,220.558018,1,1,0,1,1005,4,0
5890,129.796077,1,0,0,0,1003,1,0
55151,142.025674,1,1,0,0,5,2,0
58182,143.300509,1,1,0,0,21,2,0
186675,771.306329,1,1,0,1,257,4,1
53499,141.97106,1,1,0,0,3,1,0
49483,141.613878,1,1,0,0,3,1,0
102325,403.456039,1,1,0,0,257,4,1
130567,541.423266,1,1,0,0,5,2,0
137367,543.569509,1,1,0,0,257,4,1
176980,674.658428,1,1,0,0,1005,4,0
184872,718.070379,1,1,0,1,1005,4,0
34123,136.771939,1,1,0,0,257,4,1
1263,128.817561,1,1,0,0,257,4,1
180479,675.982957,1,1,0,0,5,2,0
70268,146.191275,1,1,0,0,5,2,0
134036,543.024127,1,1,0,0,3,1,0
119278,413.453475,1,1,0,0,5,2,0
9015,130.232302,1,1,0,0,5,2,0
185369,718.155422,1,1,0,1,1005,4,0
28349,135.783109,1,1,0,0,3,1,0
115268,412.8576,1,1,0,0,5,2,0
98547,398.264686,1,1,0,1,1005,4,0
160206,651.10342,1,1,0,0,3,1,0
81953,165.453984,1,0,0,1,51,3,0
57244,143.156622,1,1,0,0,257,4,1
316980,488.050607,1,1,1,1,42,3,-1
132709,542.737016,1,1,0,0,3,1,0
177776,674.853117,1,1,0,0,5,2,0
184831,718.061794,1,1,0,1,3,1,0
88600,282.829834,1,1,0,1,257,4,1
133921,543.002712,1,1,0,0,257,4,1
174731,656.957248,1,1,0,0,1010,0,0
45938,139.527217,1,1,0,0,257,4,1
94183,397.025782,0,0,0,1,6,2,0
18329,133.972739,1,1,0,0,257,4,1
122477,441.368081,1,0,0,0,3,1,0
121532,413.737103,1,1,0,0,5,2,0
94393,397.069932,1,1,0,0,257,4,1
155120,584.710092,1,1,0,1,3,1,0
123944,459.014926,1,1,0,1,257,4,1
176506,674.493322,1,1,0,0,3,1,0
168146,652.609525,1,1,0,0,257,4,1
141583,544.204978,1,1,0,0,3,1,0
35176,136.938578,1,1,0,0,3,1,0
27705,135.238314,1,1,0,0,257,4,1
118369,413.348532,1,1,0,0,257,4,1
127305,521.08671,1,1,0,1,257,4,1
140037,544.025062,1,1,0,0,3,1,0
25058,134.87106,1,1,0,0,5,2,0
140463,544.070718,1,1,0,0,3,1,0
43983,139.395761,1,1,0,0,3,1,0
