,evil
50216,0
275876,1
84275,0
147260,0
99537,0
100397,0
13670,0
32697,0
91201,0
170267,0
51236,0
65153,0
144411,0
60485,0
32885,0
108096,0
109820,0
32357,0
152036,0
139124,0
105980,0
48568,0
65831,0
83164,0
96310,0
89602,0
17012,0
153284,0
87023,0
112244,0
184559,0
59827,0
182909,0
149245,0
30751,0
53106,0
170729,0
66901,0
125436,0
183434,0
140593,0
181793,0
138838,0
132224,0
23046,0
143169,0
176837,0
56091,0
52470,0
39879,0
84516,0
5890,0
55151,0
58182,0
186675,0
53499,0
49483,0
102325,0
130567,0
137367,0
176980,0
184872,0
34123,0
1263,0
180479,0
70268,0
134036,0
119278,0
9015,0
185369,0
28349,0
115268,0
98547,0
160206,0
81953,0
57244,0
316980,1
132709,0
177776,0
184831,0
88600,0
133921,0
174731,0
45938,0
94183,0
18329,0
122477,0
121532,0
94393,0
155120,0
123944,0
176506,0
168146,0
141583,0
35176,0
27705,0
118369,0
127305,0
140037,0
25058,0
140463,0
43983,0
148949,0
124259,0
168655,0
47206,0
33924,0
100903,0
74593,0
22857,0
43816,0
144691,0
13380,0
16413,0
93847,0
25302,0
99940,0
162343,0
30129,0
148184,0
17894,0
27797,0
85828,0
34315,0
149660,0
70779,0
71892,0
90982,0
65187,0
65507,0
82672,0
137194,0
30335,0
175858,0
18553,0
101729,0
111178,0
44139,0
75464,0
91730,0
129971,0
39293,0
26836,0
121693,0
154350,0
183482,0
45905,0
172550,0
184256,0
24336,0
38319,0
25335,0
112667,0
9972,0
4613,0
73563,0
13083,0
121151,0
119258,0
160568,0
134809,0
119976,0
76991,0
142095,0
183350,0
87546,0
92124,0
56289,0
145539,0
90614,0
144178,0
99070,0
82733,0
165537,0
130158,0
93234,0
185210,0
139182,0
8238,0
27233,0
7594,0
1740,0
182413,0
28062,0
167811,0
60873,0
147085,0
34293,0
97727,0
125428,0
139935,0
50711,0
88599,0
188512,0
10908,0
181211,0
170121,0
52172,0
161357,0
179337,0
104288,0
44828,0
89748,0
103448,0
179526,0
107581,0
184203,0
152842,0
119186,0
42712,0
105197,0
182835,0
5364,0
19412,0
109516,0
5227,0
2912,0
105159,0
175353,0
109892,0
167905,0
85499,0
79262,0
80881,0
99541,0
148776,0
53519,0
10912,0
118218,0
160915,0
33012,0
111095,0
31512,0
77824,0
183374,0
111208,0
164738,0
118313,0
5562,0
126026,0
15553,0
163209,0
95498,0
57614,0
157419,0
74462,0
47522,0
91248,0
95019,0
56734,0
175278,0
78006,0
68265,0
117818,0
115698,0
150167,0
109204,0
99645,0
112591,0
27741,0
96787,0
128820,0
132775,0
146006,0
142420,0
181943,0
106889,0
107443,0
103654,0
80143,0
159379,0
139145,0
91420,0
68405,0
153753,0
138921,0
24825,0
99075,0
96941,0
88637,0
65662,0
93869,0
114921,0
72921,0
170911,0
64725,0
143251,0
23601,0
41947,0
36404,0
96995,0
173197,0
64251,0
75847,0
113582,0
6092,0
60105,0
184657,0
121098,0
168563,0
185246,0
124933,0
52055,0
182397,0
16437,0
83773,0
99192,0
76552,0
66789,0
66883,0
133342,0
176494,0
103672,0
30650,0
1229,0
170376,0
172884,0
125695,0
89025,0
46046,0
80160,0
8759,0
34305,0
120195,0
130939,0
66734,0
20605,0
21097,0
133639,0
101441,0
111820,0
142744,0
182148,0
31972,0
143520,0
52889,0
63928,0
53273,0
79566,0
